gcry soak telemetry
start=Time::Instant(@seconds=706203, @nanoseconds=964417020) duration=840s start_rss=6756kB
config: monitor_gate=true stw_test_stall_ms=0 ec_queue_audit=false fiber_churn=512 collect_hz=1
hour	elapsed	heap_kb	free_kb	live_objects	collections	pause_p50	pause_p99	rss_kb	finalized	queue_slots_total	queue_slots_max	queue_slots_hits	queue_faults
0.09861111111111111	355	49016.0	0.0	245582	680	2149332	12993260	66152	34137	0	0	0	0
0.1	360	49400.0	0.0	247452	690	2149332	12993260	66700	34625	0	0	0	0
# gate elapsed=360s collections=690 monitor_blocks=271 stw_waits=1 stw_wait_max_ns=1616498
0.10138888888888889	365	42104.0	0.0	208854	700	2746810	12993260	59524	35111	0	0	0	0
0.10277777777777777	370	38392.0	0.0	188962	710	2197503	12993260	55724	35599	0	0	0	0
0.10416666666666667	375	35832.0	0.0	174992	720	2987603	12993260	53436	36086	0	0	0	0
0.10555555555555556	380	34040.0	0.0	165605	730	3618903	8366656	51664	36571	0	0	0	0
0.10694444444444444	385	29432.0	0.0	140908	740	3618903	8366656	46884	37058	0	0	0	0
0.10833333333333334	390	23544.0	0.0	109513	750	3457459	10136813	40752	37546	0	0	0	0
0.10972222222222222	395	21880.0	0.0	100125	760	2987603	14848197	39352	38034	0	0	0	0
0.1111111111111111	400	17144.0	0.0	74648	770	2938030	14848197	34500	38522	0	0	0	0
0.1125	405	12664.0	0.0	50653	780	2762058	19834558	29972	39011	0	0	0	0
0.11388888888888889	410	9208.0	0.0	32066	790	2762058	19834558	27920	39497	0	0	0	0
0.11527777777777778	415	69112.0	53195.15625	68311	798	2680864	26027955	90516	39957	0	0	0	0
0.11666666666666667	420	68984.0	53258.203125	67169	808	2528297	26027955	85652	40445	0	0	0	0
# gate elapsed=420s collections=808 monitor_blocks=317 stw_waits=1 stw_wait_max_ns=1616498
0.11805555555555555	425	69112.0	57439.0625	45528	818	2459177	26027955	89268	40932	0	0	0	0
0.11944444444444445	430	68856.0	61432.671875	23407	828	2137520	26027955	85336	41425	0	0	0	0
0.12083333333333333	435	69112.0	64849.515625	5883	838	2103386	26027955	85092	41916	0	0	0	0
0.12222222222222222	440	67832.0	0.0	346042	847	2003207	26027955	83160	42326	0	0	0	0
0.12361111111111112	445	63864.0	0.0	324797	857	1970325	13818754	80684	42816	0	0	0	0
0.125	450	59640.0	0.0	302784	867	1970325	13818754	76596	43307	0	0	0	0
0.12638888888888888	455	55416.0	0.0	279979	877	2005812	9839141	73440	43795	0	0	0	0
0.12777777777777777	460	53368.0	0.0	268967	887	1988009	9839141	70932	44283	0	0	0	0
0.12916666666666668	465	49528.0	0.0	248102	897	1994080	9839141	66656	44774	0	0	0	0
0.13055555555555556	470	46840.0	0.0	233676	907	1994080	9839141	64192	45266	0	0	0	0
0.13194444444444445	475	39800.0	0.0	196643	917	1994080	9839141	56544	45754	0	0	0	0
0.13333333333333333	480	33784.0	0.0	164306	927	2005271	9839141	53120	46240	0	0	0	0
# gate elapsed=480s collections=927 monitor_blocks=350 stw_waits=1 stw_wait_max_ns=1616498
0.13472222222222222	485	29048.0	0.0	138496	937	2005271	11978034	46416	46727	0	0	0	0
0.1361111111111111	490	29944.0	0.0	143259	946	2037832	11978034	47748	47211	0	0	0	0
0.1375	495	26872.0	0.0	126955	956	2229374	11978034	44820	47696	0	0	0	0
0.1388888888888889	500	23032.0	0.0	106324	966	2427407	11978034	41052	48183	0	0	0	0
0.14027777777777778	505	19064.0	0.0	85214	976	2565046	11978034	36240	48672	0	0	0	0
0.14166666666666666	510	15096.0	0.0	64061	985	2965210	15901451	33032	49156	0	0	0	0
0.14305555555555555	515	12152.0	0.0	48176	995	2565046	15901451	29312	49646	0	0	0	0
0.14444444444444443	520	8056.0	0.0	25896	1005	2565046	15901451	23796	50136	0	0	0	0
0.14583333333333334	525	4728.0	908.71875	4739	1015	4434902	15901451	22008	50623	0	0	0	0
0.14722222222222223	530	68984.0	62993.625	15841	1024	4434902	15901451	89848	51102	0	0	0	0
0.1486111111111111	535	69112.0	61262.015625	25546	1032	4086044	15901451	89912	51574	0	0	0	0
